Player,TM,GM,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA
"Oliver, Clayton",ME,23,344,82,409,753,5,8,,126,42,124,199,113,36,27,25,409,358,1,1,40,3,19
"Neale, Lachie",BL,25,346,96,403,749,11,8,,113,39,110,191,86,44,23,28,400,350,7,7,24,13,14
"Macrae, Jack",WB,23,342,96,363,705,4,4,,87,40,121,147,80,32,17,11,267,460,2,3,50,4,18
"Brayshaw, Andrew",FR,24,354,112,350,704,12,12,,149,51,104,93,96,35,31,25,217,473,1,5,44,4,11
"Petracca, Christian",ME,24,357,100,316,673,19,31,,75,35,156,111,103,16,17,24,305,376,4,19,16,,28
"Laird, Rory",AD,20,284,53,375,659,7,8,,162,40,93,150,96,35,29,10,300,361,,4,14,2,8
"Daicos, Nick",CW,25,361,102,283,644,7,7,,54,103,69,40,88,28,18,11,159,424,,2,13,20,7
"Brodie, Will",FR,24,273,63,370,643,6,7,,127,23,91,137,90,37,25,11,287,351,2,2,24,5,10
"Walsh, Sam",CA,20,286,91,356,642,5,7,,66,48,93,88,83,16,31,14,229,426,,2,12,11,7
"Miller, Touk",GC,22,373,83,253,626,8,11,,133,51,122,174,96,29,26,27,334,293,3,3,21,3,15
"Docherty, Sam",CA,22,424,160,201,625,3,1,,73,118,65,31,83,21,20,9,143,429,5,1,49,16,7
"Guthrie, Cameron",GE,25,316,90,297,613,12,12,,124,27,73,108,76,26,22,13,245,357,3,7,29,7,8
"Brayshaw, Angus",ME,24,401,170,211,612,2,1,,54,86,71,45,74,14,14,7,186,428,12,,36,4,3
"Parker, Luke",SY,25,320,103,291,611,14,10,,150,43,95,150,100,23,29,16,294,303,9,16,27,,8
"Mills, Callum",SY,25,360,165,250,610,10,3,,158,61,106,94,74,35,23,21,243,374,9,7,46,2,16
"Sinclair, Jack",SK,22,428,127,181,609,4,2,,55,107,68,38,56,15,8,9,177,354,5,1,61,24,8
"Dale, Bailey",WB,23,415,113,182,597,7,3,,26,145,64,27,67,12,21,3,115,362,6,1,56,20,8
"Wines, Ollie",PA,21,264,84,332,596,6,11,3,84,31,96,106,81,22,21,13,257,331,5,8,29,1,14
"Treloar, Adam",WB,22,297,90,298,595,15,12,,70,49,72,71,75,18,15,6,188,387,2,8,17,30,7
"Crisp, Jack",CW,25,315,101,280,595,12,8,,137,48,141,105,108,19,25,11,241,346,2,5,52,14,12
"McCluggage, Hugh",BL,24,341,127,251,592,20,18,,116,37,105,88,96,34,29,14,216,385,3,11,23,11,19
"Cripps, Patrick",CA,21,226,76,365,591,20,9,11,105,16,94,161,106,48,35,29,322,275,9,16,26,7,11
"Mitchell, Tom",HW,21,239,81,350,589,5,7,,96,41,68,106,88,31,30,9,273,326,1,7,24,6,11
"Keays, Ben",AD,22,315,73,271,586,10,12,,106,37,95,122,99,28,30,11,251,327,1,4,19,3,13
"Dunkley, Josh",WB,23,272,142,312,584,18,11,2,140,32,62,101,71,45,22,14,260,335,13,19,39,4,13
"Serong, Caleb",FR,22,272,57,309,581,5,9,,96,33,79,122,75,32,22,5,256,328,1,,15,,7
"Merrett, Zach",ES,19,297,75,275,572,6,6,,82,41,105,88,75,36,12,17,180,394,,,32,6,16
"Crouch, Brad",SK,21,270,73,301,571,7,3,,149,29,66,123,92,31,24,10,251,300,1,1,12,1,12
"Lloyd, Jake",SY,24,385,143,185,570,2,,,56,131,37,20,55,17,14,1,117,341,2,,47,12,2
"Viney, Jack",ME,22,256,62,309,565,8,3,,126,36,91,108,112,40,20,7,280,295,1,4,44,4,9
"Boak, Travis",PA,21,250,86,312,562,10,10,,85,20,105,123,73,17,21,10,245,331,2,8,40,1,16
"Kelly, Josh",GW,21,295,93,265,560,9,9,,101,49,89,79,66,20,17,13,194,366,3,2,24,4,12
"Simpkin, Jy",NM,21,324,71,235,559,7,5,,95,39,98,111,108,23,33,6,222,338,1,6,20,7,12
"Short, Jayden",RI,23,444,127,115,559,6,4,,67,79,113,58,77,14,11,6,140,371,2,2,29,18,10
"Pendlebury, Scott",CW,24,274,74,281,555,2,1,,112,50,76,82,71,35,11,2,220,319,1,2,57,3,20
"Lipinski, Patrick",CW,25,273,86,278,551,9,4,,92,43,80,79,78,17,25,4,201,346,4,6,27,2,22
"Anderson, Noah",GC,21,383,92,166,549,11,7,,71,44,126,117,98,18,23,14,221,325,,5,32,21,12
"Warner, Chad",SY,24,327,80,220,547,20,24,,97,51,134,97,108,24,34,12,237,319,4,8,17,19,24
"Liberatore, Tom",WB,22,254,68,290,544,9,8,,104,29,85,159,63,22,18,7,289,268,3,6,39,2,13
"Dawson, Jordan",AD,22,408,146,133,541,10,6,,65,150,81,15,76,11,16,8,123,355,17,6,76,9,9
"Ross, Sebastian",SK,21,294,91,247,541,3,3,,71,38,86,83,77,18,26,1,200,348,,2,31,16,8
"Daicos, Josh",CW,25,314,101,213,527,15,11,,65,43,94,57,87,21,29,4,158,358,,9,7,18,8
"Sicily, James",HW,22,418,190,106,524,1,3,,32,179,36,6,82,26,26,7,149,307,32,1,161,11,1
"Coniglio, Stephen",GW,21,283,78,240,523,17,11,,110,16,68,94,83,19,23,4,201,318,5,8,21,14,16
"Davies-Uniacke, Luke",NM,21,267,90,255,522,9,7,,92,43,104,111,73,26,27,8,241,304,4,2,14,10,8
"Tuohy, Zach",GE,24,351,120,169,520,9,6,,44,91,60,25,47,15,10,5,131,336,6,6,26,22,8
"Amon, Karl",PA,22,342,128,178,520,8,15,,81,52,90,39,71,18,15,15,119,395,2,8,33,7,10
